housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,x,y,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN
52.0,1387.0,341.0,1074.0,304.0,1.2171,80300.0,-200413.3227396514,-19419.396407988388,0,0,0,1,0
2.0,158.0,43.0,94.0,57.0,2.5625,60000.0,-201292.15796668705,-19398.21131606819,0,0,0,1,0
52.0,1121.0,211.0,554.0,187.0,3.3929,75700.0,-201265.30938882066,-18286.86671440443,0,0,0,1,0
49.0,135.0,29.0,86.0,23.0,6.1183,75000.0,-201292.15796668705,-19398.21131606819,0,0,0,1,0
50.0,760.0,190.0,377.0,122.0,0.9011,86100.0,-201319.00653995172,-20509.555727252737,0,0,0,1,0
52.0,1224.0,237.0,521.0,159.0,1.191,76100.0,-202197.9567473128,-20488.275101597887,0,0,0,1,0
48.0,828.0,182.0,392.0,133.0,2.5938,73500.0,-202197.9567473128,-20488.275101597887,0,0,0,1,0
52.0,1010.0,209.0,604.0,187.0,1.1667,78400.0,-202197.9567473128,-20488.275101597887,0,0,0,1,0
48.0,1455.0,354.0,788.0,332.0,0.8056,84400.0,-202197.9567473128,-20488.275101597887,0,0,0,1,0
52.0,1027.0,244.0,492.0,147.0,2.6094,81300.0,-201345.8551077883,-21620.89991375059,0,0,0,1,0
52.0,572.0,109.0,274.0,82.0,1.8516,85000.0,-202197.9567473128,-20488.275101597887,0,0,0,1,0
46.0,2801.0,644.0,1823.0,611.0,0.9802,129200.0,-201319.00653995172,-20509.555727252737,0,0,0,1,0
26.0,768.0,152.0,392.0,127.0,1.7719,82500.0,-201319.00653995172,-20509.555727252737,0,0,0,1,0
46.0,935.0,297.0,582.0,277.0,0.7286,95200.0,-201319.00653995172,-20509.555727252737,0,0,0,1,0
49.0,844.0,204.0,560.0,152.0,1.75,75000.0,-201319.00653995172,-20509.555727252737,0,0,0,1,0
46.0,12.0,4.0,18.0,7.0,0.4999,67500.0,-201319.00653995172,-20509.555727252737,0,0,0,1,0
20.0,835.0,161.0,290.0,133.0,2.483,137500.0,-201319.00653995172,-20509.555727252737,0,0,0,1,0
17.0,1237.0,462.0,762.0,439.0,0.9241,177500.0,-200440.0540928901,-20530.743644862436,0,0,0,1,0
36.0,2914.0,562.0,1236.0,509.0,2.4464,102100.0,-200440.0540928901,-20530.743644862436,0,0,0,1,0
19.0,1207.0,243.0,721.0,207.0,1.1111,108300.0,-200440.0540928901,-20530.743644862436,0,0,0,1,0
23.0,1745.0,374.0,1054.0,325.0,0.8026,112500.0,-201319.00653995172,-20509.555727252737,0,0,0,1,0
38.0,684.0,176.0,344.0,155.0,2.0114,131300.0,-200466.78544072443,-21642.09065705305,0,0,0,1,0
17.0,924.0,289.0,609.0,289.0,1.5,162500.0,-200440.0540928901,-20530.743644862436,0,0,0,1,0
52.0,210.0,56.0,183.0,56.0,1.1667,112500.0,-199561.09941590638,-20551.838854194153,0,0,0,1,0
52.0,340.0,97.0,200.0,87.0,1.5208,112500.0,-200440.0540928901,-20530.743644862436,0,0,0,1,0
52.0,386.0,164.0,346.0,155.0,0.8075,137500.0,-200440.0540928901,-20530.743644862436,0,0,0,1,0
35.0,948.0,184.0,467.0,169.0,1.8088,118800.0,-200440.0540928901,-20530.743644862436,0,0,0,1,0
52.0,773.0,143.0,377.0,115.0,2.4083,98200.0,-200440.0540928901,-20530.743644862436,0,0,0,1,0
40.0,880.0,451.0,582.0,380.0,0.977,118800.0,-199561.09941590638,-20551.838854194153,0,0,0,1,0
10.0,875.0,348.0,546.0,330.0,0.76,162500.0,-199561.09941590638,-20551.838854194153,0,0,0,1,0
10.0,105.0,42.0,125.0,39.0,0.9722,137500.0,-199587.7135434411,-21663.188679711893,0,0,0,1,0
52.0,249.0,78.0,396.0,85.0,1.2434,500001.0,-199587.7135434411,-21663.188679711893,0,0,0,1,0
16.0,994.0,392.0,800.0,362.0,2.0938,162500.0,-199587.7135434411,-21663.188679711893,0,0,0,1,0
52.0,215.0,87.0,904.0,88.0,0.8668,137500.0,-200466.78544072443,-21642.09065705305,0,0,0,1,0
52.0,96.0,31.0,191.0,34.0,0.75,162500.0,-200466.78544072443,-21642.09065705305,0,0,0,1,0
27.0,1055.0,347.0,718.0,302.0,2.6354,187500.0,-199614.32766477542,-22774.53824631544,0,0,0,1,0
39.0,1715.0,623.0,1327.0,467.0,1.8477,179200.0,-199587.7135434411,-21663.188679711893,0,0,0,1,0
36.0,5329.0,2477.0,3469.0,2323.0,2.0096,130000.0,-198708.63942571793,-21684.193981490564,0,0,0,1,0
31.0,4596.0,1331.0,2048.0,1180.0,2.8345,183800.0,-198655.64560648307,-19461.488503844943,0,0,0,1,0
29.0,335.0,107.0,202.0,91.0,2.0062,125000.0,-198682.142518779,-20572.841355010867,0,0,0,1,0
22.0,3682.0,1270.0,2024.0,1250.0,1.2185,170000.0,-198655.64560648307,-19461.488503844943,0,0,0,1,0
37.0,3633.0,1085.0,1838.0,980.0,2.6104,193100.0,-198655.64560648307,-19461.488503844943,0,0,0,1,0
29.0,4656.0,1414.0,2304.0,1250.0,2.4912,257800.0,-197803.18341128656,-20593.75114708068,0,0,0,1,0
28.0,5806.0,1603.0,2563.0,1497.0,3.2177,273400.0,-197803.18341128656,-20593.75114708068,0,0,0,1,0
39.0,854.0,242.0,389.0,228.0,3.125,237500.0,-197803.18341128656,-20593.75114708068,0,0,0,1,0
52.0,2155.0,701.0,895.0,613.0,2.5795,350000.0,-197803.18341128656,-20593.75114708068,0,0,0,1,0
34.0,5871.0,1914.0,2689.0,1789.0,2.8406,335700.0,-198682.142518779,-20572.841355010867,0,0,0,1,0
52.0,1509.0,225.0,674.0,244.0,4.9306,313400.0,-196897.9596330335,-19503.209814168513,0,0,0,1,0
52.0,2026.0,482.0,709.0,456.0,3.2727,268500.0,-196924.22210320755,-20614.56823016843,0,0,0,1,0
52.0,1758.0,460.0,686.0,422.0,3.1691,259400.0,-197803.18341128656,-20593.75114708068,0,0,0,1,0
52.0,3481.0,751.0,1444.0,718.0,3.9,275700.0,-196897.9596330335,-19503.209814168513,0,0,0,1,0
28.0,3337.0,855.0,1520.0,802.0,3.9063,225000.0,-197776.80371990483,-19482.395507315174,0,0,0,1,0
52.0,1424.0,289.0,550.0,253.0,5.0917,262500.0,-197776.80371990483,-19482.395507315174,0,0,0,1,0
32.0,3809.0,1098.0,1806.0,1022.0,2.6429,218500.0,-197776.80371990483,-19482.395507315174,0,0,0,1,0
26.0,3959.0,1196.0,1749.0,1217.0,3.0233,255000.0,-197776.80371990483,-19482.395507315174,0,0,0,1,0
52.0,2376.0,559.0,939.0,519.0,3.1484,224100.0,-197750.42402400172,-18371.03967706766,0,0,0,1,0
35.0,1613.0,428.0,675.0,422.0,3.4722,243100.0,-197750.42402400172,-18371.03967706766,0,0,0,1,0
52.0,1279.0,287.0,534.0,291.0,3.1429,231600.0,-197750.42402400172,-18371.03967706766,0,0,0,1,0
28.0,5022.0,1750.0,2558.0,1661.0,2.4234,218500.0,-197750.42402400172,-18371.03967706766,0,0,0,1,0
52.0,4190.0,1105.0,1786.0,1037.0,3.0897,234100.0,-197750.42402400172,-18371.03967706766,0,0,0,1,0
50.0,2515.0,399.0,970.0,373.0,5.8596,327600.0,-195966.8228456598,-17301.208527216222,0,0,0,1,0
47.0,3175.0,454.0,1098.0,485.0,5.2868,347600.0,-195966.8228456598,-17301.208527216222,0,0,0,1,0
41.0,2576.0,406.0,794.0,376.0,5.956,366100.0,-196871.69715835818,-18391.851207684726,0,0,0,1,0
37.0,334.0,54.0,98.0,47.0,4.9643,335000.0,-196819.1721987403,-16169.133560237009,0,0,0,1,0
52.0,2800.0,411.0,1061.0,403.0,6.3434,373600.0,-195940.67758595882,-16189.846878624987,0,0,0,1,0
52.0,3529.0,574.0,1177.0,555.0,5.1773,389500.0,-196845.4346799906,-17280.492444955744,0,0,0,1,0
52.0,2612.0,365.0,901.0,367.0,7.2354,391100.0,-196819.1721987403,-16169.133560237009,0,0,0,1,0
28.0,5287.0,1048.0,2031.0,956.0,5.457,337300.0,-195062.18079331133,-16210.467537025921,0,0,0,1,0
50.0,2935.0,473.0,1031.0,479.0,7.5,295200.0,-195088.20883117217,-17321.83193712728,0,0,0,1,0
44.0,3424.0,597.0,1358.0,597.0,6.0194,292300.0,-194209.59264630248,-17342.36267445702,0,0,0,1,0
40.0,4991.0,674.0,1616.0,654.0,7.5544,411500.0,-194235.50345918947,-18453.72969171079,0,0,0,1,0
30.0,2211.0,346.0,844.0,343.0,6.0666,311500.0,-193330.97430082533,-17362.8007389782,0,0,0,1,0
34.0,3038.0,490.0,1140.0,496.0,7.0548,325900.0,-194209.59264630248,-17342.36267445702,0,0,0,1,0
18.0,1617.0,210.0,533.0,194.0,11.6017,392600.0,-192452.35380451556,-17383.14613046404,0,0,0,1,0
35.0,2865.0,460.0,1072.0,443.0,7.4882,319300.0,-193330.97430082533,-17362.8007389782,0,0,0,1,0
34.0,5065.0,788.0,1627.0,766.0,6.8976,333300.0,-194235.50345918947,-18453.72969171079,0,0,0,1,0
28.0,1326.0,184.0,463.0,190.0,8.2049,335200.0,-192478.03017230533,-18494.518588915,0,0,0,1,0
26.0,1589.0,223.0,542.0,211.0,8.401,351200.0,-193356.7678913072,-18474.17048301315,0,0,0,1,0
29.0,1791.0,271.0,661.0,269.0,6.8538,368900.0,-192478.03017230533,-18494.518588915,0,0,0,1,0
32.0,1835.0,264.0,635.0,263.0,8.317,365900.0,-192503.70653648523,-19605.89089111751,0,0,0,1,0
37.0,1229.0,181.0,420.0,176.0,7.0175,366700.0,-193382.56147816268,-19585.540070799645,0,0,0,1,0
39.0,3770.0,534.0,1265.0,500.0,6.3302,362800.0,-193382.56147816268,-19585.540070799645,0,0,0,1,0
30.0,292.0,38.0,126.0,52.0,6.3624,483300.0,-191650.4085900165,-20737.523827212863,0,0,0,1,0
52.0,2375.0,333.0,813.0,350.0,7.0549,331400.0,-194261.4142684336,-19565.09655271843,0,0,0,1,0
45.0,2964.0,436.0,1067.0,426.0,6.7851,323500.0,-193408.3550605973,-20696.909468102735,0,0,0,1,0
50.0,2833.0,605.0,1260.0,552.0,2.8929,216700.0,-194313.23587280145,-21787.829669076018,0,0,0,1,0
38.0,2254.0,535.0,951.0,487.0,3.0812,233100.0,-194313.23587280145,-21787.829669076018,0,0,0,1,0
52.0,1389.0,212.0,510.0,224.0,5.2402,296400.0,-194287.32507323677,-20676.4632232422,0,0,0,1,0
52.0,1971.0,335.0,765.0,308.0,6.5217,273700.0,-195166.29292440403,-20655.924268479925,0,0,0,1,0
52.0,2183.0,465.0,1129.0,460.0,3.2632,227700.0,-195192.32094602528,-21767.28797517065,0,0,0,1,0
52.0,2286.0,464.0,1073.0,441.0,3.0298,199600.0,-195192.32094602528,-21767.28797517065,0,0,0,1,0
52.0,2721.0,541.0,1185.0,515.0,4.5428,239800.0,-195192.32094602528,-21767.28797517065,0,0,0,1,0
52.0,2024.0,339.0,756.0,340.0,4.072,270100.0,-195166.29292440403,-20655.924268479925,0,0,0,1,0
52.0,2944.0,536.0,1034.0,521.0,5.3509,302100.0,-195166.29292440403,-20655.924268479925,0,0,0,1,0
52.0,2033.0,486.0,787.0,459.0,3.1603,269500.0,-196071.4038477088,-21746.6535592312,0,0,0,1,0
52.0,1433.0,229.0,612.0,213.0,4.7708,314700.0,-196045.2586043205,-20635.292604046408,0,0,0,1,0
52.0,2927.0,402.0,1021.0,380.0,8.1564,390100.0,-195166.29292440403,-20655.924268479925,0,0,0,1,0
52.0,2315.0,292.0,861.0,258.0,8.8793,410300.0,-196045.2586043205,-20635.292604046408,0,0,0,1,0
52.0,2485.0,313.0,953.0,327.0,6.8591,352400.0,-196924.22210320755,-20614.56823016843,0,0,0,1,0
52.0,1490.0,238.0,634.0,256.0,6.0302,287300.0,-196924.22210320755,-20614.56823016843,0,0,0,1,0
52.0,2814.0,365.0,878.0,352.0,7.508,348700.0,-196045.2586043205,-20635.292604046408,0,0,0,1,0
52.0,2093.0,550.0,918.0,483.0,2.7477,243800.0,-196924.22210320755,-20614.56823016843,0,0,0,1,0
52.0,888.0,168.0,360.0,175.0,2.1944,211500.0,-196950.484568072,-21725.92642148258,0,0,0,1,0
52.0,2087.0,510.0,1197.0,488.0,3.0149,218400.0,-197829.563097335,-21705.106562159956,0,0,0,1,0
52.0,2513.0,502.0,1048.0,518.0,3.675,269900.0,-196924.22210320755,-20614.56823016843,0,0,0,1,0
46.0,3232.0,835.0,1373.0,747.0,3.225,218800.0,-197803.18341128656,-20593.75114708068,0,0,0,1,0
42.0,4120.0,1065.0,1715.0,1015.0,2.9345,225000.0,-197829.563097335,-21705.106562159956,0,0,0,1,0
43.0,2364.0,792.0,1359.0,722.0,2.1429,250000.0,-197829.563097335,-21705.106562159956,0,0,0,1,0
41.0,1471.0,469.0,1062.0,413.0,1.6121,171400.0,-197829.563097335,-21705.106562159956,0,0,0,1,0
29.0,2468.0,864.0,1335.0,773.0,1.3929,193800.0,-197829.563097335,-21705.106562159956,0,0,0,1,0
27.0,1632.0,492.0,1171.0,429.0,2.3173,125000.0,-196976.74702681805,-22837.284353881143,0,0,0,1,0
45.0,1786.0,526.0,1475.0,460.0,1.7772,97500.0,-197855.9427772377,-22816.461718324106,0,0,0,1,0
50.0,629.0,188.0,742.0,196.0,2.6458,125000.0,-197855.9427772377,-22816.461718324106,0,0,0,1,0
52.0,1339.0,391.0,1086.0,363.0,2.181,138800.0,-197855.9427772377,-22816.461718324106,0,0,0,1,0
36.0,1678.0,606.0,1645.0,543.0,2.2303,116700.0,-197829.563097335,-21705.106562159956,0,0,0,1,0
43.0,2344.0,647.0,1710.0,644.0,1.6504,151800.0,-197829.563097335,-21705.106562159956,0,0,0,1,0
52.0,996.0,228.0,731.0,228.0,2.2697,127000.0,-196950.484568072,-21725.92642148258,0,0,0,1,0
52.0,1591.0,373.0,1118.0,347.0,2.1563,128600.0,-196950.484568072,-21725.92642148258,0,0,0,1,0
52.0,1586.0,398.0,1006.0,335.0,2.1348,140600.0,-196950.484568072,-21725.92642148258,0,0,0,1,0
47.0,2046.0,588.0,1213.0,554.0,2.6292,182700.0,-196950.484568072,-21725.92642148258,0,0,0,1,0
52.0,1192.0,289.0,772.0,257.0,2.3833,146900.0,-196071.4038477088,-21746.6535592312,0,0,0,1,0
52.0,1803.0,420.0,1321.0,401.0,2.957,122800.0,-196950.484568072,-21725.92642148258,0,0,0,1,0
49.0,2838.0,749.0,1487.0,677.0,2.5238,169300.0,-196950.484568072,-21725.92642148258,0,0,0,1,0
52.0,783.0,184.0,488.0,186.0,1.9375,126600.0,-196071.4038477088,-21746.6535592312,0,0,0,1,0
51.0,1590.0,414.0,949.0,392.0,1.9028,127900.0,-196071.4038477088,-21746.6535592312,0,0,0,1,0
50.0,1746.0,480.0,1149.0,415.0,2.25,123500.0,-196071.4038477088,-21746.6535592312,0,0,0,1,0
52.0,1252.0,299.0,844.0,280.0,2.3929,111900.0,-196071.4038477088,-21746.6535592312,0,0,0,1,0
43.0,5963.0,1344.0,4367.0,1231.0,2.1917,112800.0,-196097.549085006,-22858.014255499,0,0,0,1,0
52.0,1783.0,395.0,1659.0,412.0,2.9357,107900.0,-196097.549085006,-22858.014255499,0,0,0,1,0
30.0,999.0,264.0,1011.0,263.0,1.8854,137500.0,-196097.549085006,-22858.014255499,0,0,0,1,0
39.0,1469.0,431.0,1464.0,389.0,2.1638,105500.0,-196976.74702681805,-22837.284353881143,0,0,0,1,0
47.0,1372.0,395.0,1237.0,303.0,2.125,95500.0,-196976.74702681805,-22837.284353881143,0,0,0,1,0
52.0,674.0,180.0,647.0,168.0,3.375,116100.0,-196976.74702681805,-22837.284353881143,0,0,0,1,0
43.0,1626.0,376.0,1284.0,357.0,2.2542,112200.0,-196976.74702681805,-22837.284353881143,0,0,0,1,0
51.0,175.0,43.0,228.0,55.0,2.1,75000.0,-197855.9427772377,-22816.461718324106,0,0,0,1,0
39.0,461.0,129.0,381.0,123.0,1.6,112500.0,-197855.9427772377,-22816.461718324106,0,0,0,1,0
52.0,902.0,237.0,846.0,227.0,3.625,125000.0,-197855.9427772377,-22816.461718324106,0,0,0,1,0
20.0,2373.0,779.0,1659.0,676.0,1.6929,115000.0,-198708.63942571793,-21684.193981490564,0,0,0,1,0
52.0,391.0,128.0,520.0,138.0,1.6471,95000.0,-195270.40497130458,-25101.37740503624,0,0,0,1,0
52.0,1137.0,301.0,866.0,259.0,2.59,96400.0,-195270.40497130458,-25101.37740503624,0,0,0,1,0
52.0,769.0,206.0,612.0,183.0,2.57,72000.0,-196149.83953811091,-25080.73473457899,0,0,0,1,0
52.0,472.0,146.0,415.0,126.0,2.6429,71300.0,-196123.69431540804,-23969.3746586754,0,0,0,1,0
52.0,862.0,215.0,994.0,213.0,3.0257,80800.0,-196123.69431540804,-23969.3746586754,0,0,0,1,0
50.0,1920.0,530.0,1525.0,477.0,1.4886,128800.0,-195244.37697027603,-23990.014577628113,0,0,0,1,0
43.0,1420.0,472.0,1506.0,438.0,1.9338,112500.0,-196123.69431540804,-23969.3746586754,0,0,0,1,0
52.0,986.0,258.0,1008.0,255.0,1.4844,119400.0,-196123.69431540804,-23969.3746586754,0,0,0,1,0
44.0,2340.0,825.0,2813.0,751.0,1.6009,118100.0,-196123.69431540804,-23969.3746586754,0,0,0,1,0
48.0,1696.0,396.0,1481.0,343.0,2.0375,122500.0,-196097.549085006,-22858.014255499,0,0,0,1,0
49.0,1175.0,217.0,859.0,219.0,2.293,106300.0,-196097.549085006,-22858.014255499,0,0,0,1,0
37.0,2343.0,574.0,1608.0,523.0,2.1494,132500.0,-195218.34896158276,-22878.65142294625,0,0,0,1,0
30.0,610.0,145.0,425.0,140.0,1.6198,122700.0,-196097.549085006,-22858.014255499,0,0,0,1,0
40.0,930.0,199.0,564.0,184.0,1.3281,113300.0,-196097.549085006,-22858.014255499,0,0,0,1,0
44.0,1487.0,314.0,961.0,272.0,3.5156,109500.0,-195218.34896158276,-22878.65142294625,0,0,0,1,0
52.0,3424.0,690.0,2273.0,685.0,3.9048,164700.0,-195218.34896158276,-22878.65142294625,0,0,0,1,0
52.0,762.0,190.0,600.0,195.0,3.0893,125000.0,-194339.14666632965,-22899.195855993778,0,0,0,1,0
46.0,2366.0,575.0,1647.0,527.0,2.6042,124700.0,-195218.34896158276,-22878.65142294625,0,0,0,1,0
49.0,1826.0,450.0,1201.0,424.0,2.5,136700.0,-195218.34896158276,-22878.65142294625,0,0,0,1,0
38.0,3049.0,711.0,2167.0,659.0,2.7969,141700.0,-195218.34896158276,-22878.65142294625,0,0,0,1,0
29.0,1640.0,376.0,939.0,340.0,2.8321,150000.0,-193459.94220902777,-22919.647554411087,0,0,0,1,0
47.0,1543.0,307.0,859.0,292.0,2.9583,138800.0,-194339.14666632965,-22899.195855993778,0,0,0,1,0
34.0,2364.0,557.0,1517.0,516.0,2.8365,139200.0,-194339.14666632965,-22899.195855993778,0,0,0,1,0
35.0,1745.0,409.0,1143.0,386.0,2.875,143800.0,-194339.14666632965,-22899.195855993778,0,0,0,1,0
39.0,2003.0,500.0,1109.0,464.0,3.0682,156500.0,-194313.23587280145,-21787.829669076018,0,0,0,1,0
39.0,2018.0,447.0,1221.0,446.0,3.0757,151000.0,-194313.23587280145,-21787.829669076018,0,0,0,1,0
43.0,3045.0,499.0,1115.0,455.0,4.9559,273000.0,-193434.14863781712,-21808.278640715405,0,0,0,1,0
52.0,1547.0,293.0,706.0,268.0,4.7721,217100.0,-193434.14863781712,-21808.278640715405,0,0,0,1,0
52.0,3519.0,711.0,1883.0,706.0,3.4861,187100.0,-194313.23587280145,-21787.829669076018,0,0,0,1,0
41.0,2070.0,354.0,804.0,340.0,5.1184,239600.0,-193434.14863781712,-21808.278640715405,0,0,0,1,0
48.0,1321.0,263.0,506.0,252.0,4.0977,229700.0,-194313.23587280145,-21787.829669076018,0,0,0,1,0
48.0,1694.0,259.0,610.0,238.0,4.744,257300.0,-192555.05925085233,-21828.634889862966,0,0,0,1,0
46.0,1938.0,341.0,768.0,332.0,4.2727,246900.0,-192555.05925085233,-21828.634889862966,0,0,0,1,0
50.0,968.0,195.0,462.0,184.0,2.9844,179900.0,-192580.73559945848,-22940.00651797233,0,0,0,1,0
40.0,1060.0,256.0,667.0,235.0,4.1739,169600.0,-193459.94220902777,-22919.647554411087,0,0,0,1,0
46.0,2041.0,405.0,1059.0,399.0,3.8487,203300.0,-193434.14863781712,-21808.278640715405,0,0,0,1,0
52.0,1813.0,271.0,637.0,277.0,4.0114,263400.0,-192555.05925085233,-21828.634889862966,0,0,0,1,0
